district,week,year,cases
Trincomalee,31,2020,2
Vavuniya,31,2020,0
Ampara,32,2020,0
Anuradhapura,32,2020,2
Badulla,32,2020,4
Batticaloa,32,2020,10
Colombo,32,2020,63
Galle,32,2020,15
Gampaha,32,2020,44
Hambantota,32,2020,5
Jaffna,32,2020,6
Kalmunai,32,2020,0
Kalutara,32,2020,0
Kandy,32,2020,91
Kegalle,32,2020,19
Kilinochchi,32,2020,1
Kurunegala,32,2020,11
Mannar,32,2020,0
Matale,32,2020,5
Matara,32,2020,5
Monaragala,32,2020,0
Mullaitivu,32,2020,2
Nuwara Eliya,32,2020,2
Polonnaruwa,32,2020,0
Puttalam,32,2020,0
Ratnapura,32,2020,41
Trincomalee,32,2020,2
Vavuniya,32,2020,1
Ampara,33,2020,0
Anuradhapura,33,2020,1
Badulla,33,2020,7
Batticaloa,33,2020,8
Colombo,33,2020,76
Galle,33,2020,14
Gampaha,33,2020,48
Hambantota,33,2020,4
Jaffna,33,2020,2
Kalmunai,33,2020,0
Kalutara,33,2020,0
Kandy,33,2020,120
Kegalle,33,2020,10
Kilinochchi,33,2020,0
Kurunegala,33,2020,11
Mannar,33,2020,5
Matale,33,2020,2
Matara,33,2020,8
Monaragala,33,2020,0
Mullaitivu,33,2020,1
Nuwara Eliya,33,2020,3
Polonnaruwa,33,2020,0
Puttalam,33,2020,0
Ratnapura,33,2020,33
Trincomalee,33,2020,0
Vavuniya,33,2020,0
Ampara,34,2020,0
Anuradhapura,34,2020,3
Badulla,34,2020,2
Batticaloa,34,2020,19
Colombo,34,2020,87
Galle,34,2020,5
Gampaha,34,2020,69
Hambantota,34,2020,1
Jaffna,34,2020,7
Kalmunai,34,2020,0
Kalutara,34,2020,0
Kandy,34,2020,98
Kegalle,34,2020,19
Kilinochchi,34,2020,0
Kurunegala,34,2020,16
Mannar,34,2020,0
Matale,34,2020,9
Matara,34,2020,5
Monaragala,34,2020,0
Mullaitivu,34,2020,0
Nuwara Eliya,34,2020,0
Polonnaruwa,34,2020,0
Puttalam,34,2020,0
Ratnapura,34,2020,32
Trincomalee,34,2020,3
Vavuniya,34,2020,0
Ampara,35,2020,2
Anuradhapura,35,2020,5
Badulla,35,2020,3
Batticaloa,35,2020,6
Colombo,35,2020,97
Galle,35,2020,17
Gampaha,35,2020,43
Hambantota,35,2020,0
Jaffna,35,2020,5
Kalmunai,35,2020,0
Kalutara,35,2020,0
Kandy,35,2020,94
Kegalle,35,2020,14
Kilinochchi,35,2020,0
Kurunegala,35,2020,6
Mannar,35,2020,0
Matale,35,2020,6
Matara,35,2020,11
Monaragala,35,2020,0
Mullaitivu,35,2020,1
Nuwara Eliya,35,2020,0
Polonnaruwa,35,2020,0
Puttalam,35,2020,0
